,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,greenbelt,nuisance,view,condition,grade,heat_source,sewer_system,sqft_above,sqft_basement,sqft_garage,sqft_patio,yr_built,yr_renovated,lat,long,street,city,state,zipcode,status,walkscore,snapped_lat,snapped_lon,bike_score
0,7399300360,2022-05-24,675000.0,4,1.0,1180,7140,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1180,0,0,40,1969,0,47.461975,-122.19052,2102 Southeast 21st Court, Renton,WA,98055,1,13.0,47.4615,-122.19,34.0
1,8910500230,2021-12-13,920000.0,5,2.5,2770,6703,1.0,NO,NO,YES,AVERAGE,Average,7 Average,Oil,PUBLIC,1570,1570,0,240,1950,0,47.711525,-122.35591,11231 Greenwood Avenue North, Seattle,WA,98133,1,60.0,47.712,-122.3565,63.0
2,1180000275,2021-09-29,311000.0,6,2.0,2880,6156,1.0,NO,NO,NO,AVERAGE,Average,7 Average,Gas,PUBLIC,1580,1580,0,0,1956,0,47.502045,-122.2252,8504 South 113th Street, Seattle,WA,98178,1,35.0,47.502,-122.2245,48.0
3,1604601802,2021-12-14,775000.0,3,3.0,2160,1400,2.0,NO,NO,NO,AVERAGE,Average,9 Better,Gas,PUBLIC,1090,1070,200,270,2010,0,47.56611,-122.2902,4079 Letitia Avenue South, Seattle,WA,98118,1,82.0,47.5665,-122.2905,58.0
4,8562780790,2021-08-24,592500.0,2,2.0,1120,758,2.0,NO,NO,YES,NONE,Average,7 Average,Electricity,PUBLIC,1120,550,550,30,2012,0,47.53247,-122.07188,2193 Northwest Talus Drive, Issaquah,WA,98027,1,14.0,47.532,-122.0715,13.0
5,2807100156,2021-07-20,625000.0,2,1.0,1190,5688,1.0,NO,NO,YES,NONE,Average,7 Average,Electricity,PUBLIC,1190,0,300,0,1948,0,47.76347,-122.340155,1602 North 185th Street, Shoreline,Washington,98133,1,68.0,47.763,-122.34,78.0
6,5122400111,2021-11-17,1317227.0,3,3.0,2080,27574,1.0,NO,NO,NO,AVERAGE,Good,9 Better,Oil,PRIVATE,2080,0,0,150,1951,0,47.45547,-122.36722,2633 Southwest 164th Place, Burien,Washington,98166,1,2.0,47.4555,-122.367,9.0
7,7137850210,2022-04-28,820000.0,3,2.5,2214,3506,2.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,2214,0,440,206,2019,0,47.378355,-122.178625,24913 122nd Place Southeast, Kent,Washington,98030,1,21.0,47.379,-122.178,27.0
8,2944500680,2022-03-17,780000.0,4,2.5,2340,8125,2.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,2340,0,440,70,1989,0,47.29377,-122.36932,2721 Southwest 343rd Place, Federal Way,Washington,98023,1,32.0,47.2935,-122.37,25.0
9,2619950340,2021-06-21,975000.0,4,2.5,2980,5859,2.0,NO,NO,NO,AVERAGE,Average,8 Good,Gas,PUBLIC,2980,0,540,170,2011,0,47.73317,-121.965305,27950 Northeast 147th Circle, Duvall,Washington,98019,1,25.0,47.733,-121.965,25.0
